StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q7,Q8,Q9,Q10,Q11,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Team ID below to verify your identity.,"Expand Starting Lineup from 8 to 14 Players with No Bench
Proposed lineup: PG, PG, SG, SG, SF, SF, PF, PF, C, C, FLX, FLX, FLX, FLX.",Move Playoffs to Finish on the Last Friday of the NBA Regular Season ensuring all teams have played 81 NBA games before the fantasy season concludes.,"Entry Fee Payment Deadlines
Soft deadline: Thanksgiving. Hard deadline: New Year's Eve.",Extend RFA Offer Matching Window from one day (48 hours) to two days (96 hours).,A designated two-way player must be assigned before the season begins and must be overseas-eligible. The two-way player is eligible for 21 out of 36 regular season matchup periods and is not playoff eligible.,"Allow Midseason Call-Ups from Overseas/Minors to Active Roster in middle of season.

Currently, players cannot be moved from overseas/minors to the active roster once the season begins."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}"
2026-06-01 21:26:49,2026-06-01 21:27:56,0,99.47.117.157,100,67,1,2026-06-01 21:27:56,R_1Vwet7O8kDtPwQx,,,,,37.4446,-122.1835,anonymous,EN,cltroxUsToswojikubit,,,,,,
2026-06-01 21:26:59,2026-06-01 21:28:10,0,66.219.211.178,100,71,1,2026-06-01 21:28:10,R_5o29sKYDVqLAALz,,,,,40.3693,-111.7408,anonymous,EN,,,,,,,
2026-06-01 21:27:15,2026-06-01 21:28:44,0,96.95.217.118,100,89,1,2026-06-01 21:28:44,R_1jm5CsChu1aD5iF,,,,,37.3479,-122.0351,anonymous,EN,fafrlvUfathuyicichld,2,2,2,2,1,1
2026-06-01 21:29:22,2026-06-01 21:34:09,0,76.27.117.189,100,287,1,2026-06-01 21:34:09,R_6fTw6haC7G2qBo8,,,,,40.5308,-112.2983,anonymous,EN,bLmlrLXeThiyaboBLziG,2,1,1,2,1,1
2026-06-01 22:40:59,2026-06-01 22:43:23,0,174.27.187.45,100,144,1,2026-06-01 22:43:24,R_6SPaeyjwqB1Qj85,,,,,43.6502,-116.4343,anonymous,EN,DroxUswebudofethOPrl,1,1,2,1,1,1
2026-06-01 22:45:44,2026-06-01 22:46:41,0,45.50.72.120,100,57,1,2026-06-01 22:46:41,R_6KJgclV3YRXU52l,,,,,33.8206,-118.034,anonymous,EN,tlZlbeRoCrlchosutuWo,,,,,,
2026-06-01 23:04:47,2026-06-01 23:05:26,0,68.5.46.64,100,39,1,2026-06-01 23:05:27,R_33ya8yE5a80uLzD,,,,,33.4769,-117.7013,anonymous,EN,hespatRlBEwOrLSwatRa,,,,,,
2026-06-02 03:54:23,2026-06-02 03:56:51,0,172.58.120.140,100,148,1,2026-06-02 03:56:51,R_7xfYdd1dAoY5Akh,,,,,42.3575,-83.2162,anonymous,EN,koplfUglzinoThiwaspi,1,2,1,2,1,1
