Year,Week,Tier,Division,TeamA,TeamB,TeamASeed,TeamBSeed,Notes,Rivalry
2026,1,1,Premier League,Duke,Florida State,2,6,NPL,
2026,1,1,Premier League,Virginia Tech,Miami (FL),4,5,NPL,
2026,1,1,Premier League,Texas Tech,Navy,12,3,NPL,
2026,1,1,Premier League,LSU,Washington State,16,14,NPL,
2026,1,1,Premier League,Purdue,Florida,9,17,NPL,
2026,1,1,Premier League,Kansas State,Washington,11,13,NPL,
2026,1,1,Premier League,Georgia,TCU,18,10,NPL,
2026,1,1,Premier League,Missouri,Ohio State,1,7,NPL,
2026,1,1,Premier League,Rutgers,Utah,8,15,NPL,
2026,2,1,Premier League,Ohio State,Washington,7,13,NPL,
2026,2,1,Premier League,Miami (FL),Georgia,5,18,NPL,
2026,2,1,Premier League,Utah,LSU,15,16,NPL,
2026,2,1,Premier League,TCU,Texas Tech,10,12,NPL,
2026,2,1,Premier League,Virginia Tech,Duke,4,2,NPL,
2026,2,1,Premier League,Navy,Purdue,3,9,NPL,
2026,2,1,Premier League,Florida,Kansas State,17,11,NPL,
2026,2,1,Premier League,Florida State,Rutgers,6,8,NPL,
2026,2,1,Premier League,Washington State,Missouri,14,1,NPL,
2026,3,1,Premier League,Kansas State,Ohio State,11,7,NPL,
2026,3,1,Premier League,Duke,Georgia,2,18,NPL,
2026,3,1,Premier League,Washington,Washington State,13,14,NPL,
2026,3,1,Premier League,Missouri,Utah,1,15,NPL,
2026,3,1,Premier League,Florida,Navy,17,3,NPL,
2026,3,1,Premier League,Texas Tech,Miami (FL),12,5,NPL,
2026,3,1,Premier League,LSU,Florida State,16,6,NPL,
2026,3,1,Premier League,Rutgers,Virginia Tech,8,4,NPL,
2026,3,1,Premier League,Purdue,TCU,9,10,NPL,
2026,4,1,Premier League,TCU,Florida,10,17,NPL,
2026,4,1,Premier League,Virginia Tech,LSU,4,16,NPL,
2026,4,1,Premier League,Miami (FL),Purdue,5,9,NPL,
2026,4,1,Premier League,Utah,Washington,15,13,NPL,
2026,4,1,Premier League,Georgia,Rutgers,18,8,NPL,
2026,4,1,Premier League,Texas Tech,Duke,12,2,NPL,
2026,4,1,Premier League,Navy,Kansas State,3,11,NPL,
2026,4,1,Premier League,Washington State,Ohio State,14,7,NPL,
2026,4,1,Premier League,Florida State,Missouri,6,1,NPL,
2026,5,1,Premier League,Washington,Florida State,13,6,NPL,
2026,5,1,Premier League,Ohio State,Utah,7,15,NPL,
2026,5,1,Premier League,Missouri,Virginia Tech,1,4,NPL,
2026,5,1,Premier League,Navy,TCU,3,10,NPL,
2026,5,1,Premier League,Florida,Miami (FL),17,5,NPL,
2026,5,1,Premier League,Kansas State,Washington State,11,14,NPL,
2026,5,1,Premier League,Duke,Purdue,2,9,NPL,
2026,5,1,Premier League,Rutgers,Texas Tech,8,12,NPL,
2026,5,1,Premier League,LSU,Georgia,16,18,NPL,
2026,6,1,Premier League,Purdue,Rutgers,9,8,NPL,
2026,6,1,Premier League,TCU,Kansas State,10,11,NPL,
