Week,TeamA,TeamB
1,Air Force,San Diego State
1,Appalachian State,Southern Mississippi
1,Arizona,Washington
1,Army,Wisconsin
1,Auburn,Boston College
1,BYU,TCU
1,Baylor,Kansas
1,Boise State,San Jose State
1,Bowling Green,Central Michigan
1,Buffalo,Ball State
1,Charlotte,Tulsa
1,Cincinnati,Houston
1,Clemson,Wake Forest
1,Colorado State,New Mexico
1,Delaware,Liberty
1,Duke,Notre Dame
1,Eastern Carolina,Temple
1,Eastern Michigan,Akron
1,Florida,Kentucky
1,Florida Atlantic,UAB
1,Florida International,Middle Tennessee
1,Fresno State,Wyoming
1,Georgia,Tennessee
1,Georgia State,Texas State
1,Georgia Tech,Louisville
1,Hawaii,Nevada
1,Indiana,Michigan
1,Iowa State,Kansas State
1,Jacksonville State,Missouri State
1,James Madison,Troy
1,Kennesaw State,Sam Houston State
1,Kent State,Toledo
1,LSU,Arkansas
1,Louisiana,Arkansas State
1,Louisiana Tech,Western Kentucky
1,Marshall,Georgia Southern
1,Miami (OH),Western Michigan
1,Michigan State,Nebraska
1,Minnesota,Illinois
1,Missouri,Northwestern
1,NC State,Syracuse
1,New Mexico State,UTEP
1,North Alabama,Montana
1,North Dakota State,Montana State
1,North Texas,Tulane
1,Ohio,Northern Illinois
1,Oklahoma,Navy
1,Oklahoma State,UCF
1,Old Dominion,Coastal Carolina
1,Ole Miss,Southern Methodist
1,Oregon,Arizona State
1,Penn State,Iowa
1,Pitt,Florida State
1,Purdue,Maryland
1,Rice,Memphis
1,Rutgers,Ohio State
1,South Alabama,Louisiana Monroe
1,South Florida,UTSA
1,Stanford,Colorado
1,Texas,South Carolina
1,Texas A&M,Mississippi State
1,UC Davis,Sacramento State
1,UCLA,Oregon State
1,UConn,South Dakota State
1,UMass,Tarleton St.
1,UNC,Miami (FL)
1,USC,Utah
1,Utah State,UNLV
1,Vanderbilt,Alabama
1,Virginia Tech,Virginia
1,Washington State,Cal
1,West Virginia,Texas Tech
2,Air Force,Fresno State
