Team,SleeperTeamName,RosterID,LeagueID,Position,Player,PlayerID,RosterSpot,Week,Year,Conference,Points,TeamPoints
Illinois,,8,872263979001704448,QB,Aaron Rodgers,96,Starter,1,2022,B1G,4.7,106.6
Illinois,,8,872263979001704448,QB,Kyle Trask,7605,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,QB,Ryan Tannehill,1049,Bench,1,2022,B1G,19.34,106.6
Illinois,,8,872263979001704448,RB,Antonio Gibson,6945,Starter,1,2022,B1G,20.0,106.6
Illinois,,8,872263979001704448,RB,Jonathan Taylor,6813,Starter,1,2022,B1G,27.5,106.6
Illinois,,8,872263979001704448,RB,Keaontay Ingram,8221,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,RB,Kyren Williams,8150,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,RB,Michael Carter,7607,Bench,1,2022,B1G,17.0,106.6
Illinois,,8,872263979001704448,RB,Ronald Jones,5052,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,TE,Mike Gesicki,4993,Starter,1,2022,B1G,1.1,106.6
Illinois,,8,872263979001704448,TE,Tommy Tremble,7694,Bench,1,2022,B1G,1.1,106.6
Illinois,,8,872263979001704448,TE,Trey McBride,8130,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,WR,Amari Cooper,2309,Starter,1,2022,B1G,4.7,106.6
Illinois,,8,872263979001704448,WR,Christian Watson,8167,Bench,1,2022,B1G,6.1,106.6
Illinois,,8,872263979001704448,WR,Davante Adams,2133,Starter,1,2022,B1G,30.1,106.6
Illinois,,8,872263979001704448,WR,Devin Duvernay,6847,Bench,1,2022,B1G,21.4,106.6
Illinois,,8,872263979001704448,WR,KJ Hamler,6805,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,WR,Khalil Shakir,8134,Bench,1,2022,B1G,0.0,106.6
Illinois,,8,872263979001704448,WR,Marquez Valdes-Scantling,5086,Bench,1,2022,B1G,8.1,106.6
Illinois,,8,872263979001704448,WR,Tee Higgins,6801,Starter,1,2022,B1G,4.7,106.6
Illinois,,8,872263979001704448,WR,Terry McLaurin,5927,Starter,1,2022,B1G,13.8,106.6
Illinois,,8,872263979001704448,WR,Treylon Burks,8135,Bench,1,2022,B1G,8.5,106.6
Indiana,,3,872263979001704448,QB,Carson Wentz,3161,Starter,1,2022,B1G,29.72,131.98
Indiana,,3,872263979001704448,QB,Justin Herbert,6797,Starter,1,2022,B1G,23.26,131.98
Indiana,,3,872263979001704448,QB,Kenny Pickett,8160,Bench,1,2022,B1G,0.0,131.98
Indiana,,3,872263979001704448,QB,Sam Darnold,4943,Bench,1,2022,B1G,0.0,131.98
